row,title,isbn,status
13,الموسوعة المصغرة في الدبلوماسية العامة والاعلام الدولي,978-9923-30-,truncated_or_missing_cover
14,الفسيولوجيا التعويضية لذوي الاحتياجات الخاصة,978-992-30-,truncated_or_missing_cover
15,التأثير الاجتماعي على السلوك,978-9923-30-,truncated_or_missing_cover
16,الامن السياسي والاقتصادي في زمن التحولات الكبرى,978-9923-30-,truncated_or_missing_cover
17,الامن الاجتماعي حماية الفرد والمجتمع,978-9923-30-,truncated_or_missing_cover
18,الصحة والسلامة العامة,978-9923-30-,truncated_or_missing_cover
19,دور العدالة في تعزيز الرعاية الاجتماعية,978-9923-30-,truncated_or_missing_cover
20,الاتجاهات الاصولية في قرارات المحكمة العليا الشرعية لعام 2024م,978-9923-30-,truncated_or_missing_cover
21,الفكر التربوي والتعليمي عند ابي الحسن القابسي 324ه-403ه,978-9923-30-,truncated_or_missing_cover
22,الاسس القانونية للعقود الالكترونية فقه التحولات الرقمية ومستقبلها,978-9923-30-,truncated_or_missing_cover
23,اضطراب فرط الحركة وتشتت الانتباه فهم علمي شامل للتشخيص والتدخل,978-9923-30-,truncated_or_missing_cover
24,المثل في القران الكريم تحليل معجمي دلالي,978-9923-30-,truncated_or_missing_cover
25,حماية المستهلك في القانون التجاري,978-9923-30-,truncated_or_missing_cover
26,الاعلام الدولي قوة التأثير وصناعة الحقيقة,978-9923-30-,truncated_or_missing_cover
27,الاعلام الرقمي والواقع الافتراضي,978-9923-30-,truncated_or_missing_cover
28,التحرير والكتابة الصحفية,978-9923-30-,truncated_or_missing_cover
29,ادارة الاتصال والمعلومات الدليل الشامل للقيادة الفعالة في عصر البيانات,978-9923-30-,truncated_or_missing_cover
30,تجديد الفكرالنحوي عند العرب,978-9923-30-,truncated_or_missing_cover
31,اخلاقيات الاعلام من القيم المهنية الى التحديات الرقمية,978-9923-30-,truncated_or_missing_cover
32,التربية الاعلامية -الاسس، المهارات، والتطبيقات,978-9923-30-,truncated_or_missing_cover
33,المنهج التجريبي في العلوم التربوية والنفسية,978-9923-30-127-2,truncated_or_missing_cover
34,التواصل بين منزعه اللساني ومقصده البلاغي,978-9923-30-129-6,truncated_or_missing_cover
35,المستويات السياقية والتواصلية ,978-9923-30-131-9,truncated_or_missing_cover
36,اللسانيات الحاسوبية في خدمة اللغة العربية,978-9923-30-128-9,truncated_or_missing_cover
37,المعالجة الآلية للغة العربية,978-9923-30-138-8,truncated_or_missing_cover
38,حماية الاطفال في عالم الانترنت دليل المعلم لتعليم الامن السيبراني,978-9923-30-,truncated_or_missing_cover
39,الامن السيبراني دليل شامل ,978-9923-30-,truncated_or_missing_cover
40,الصحافة والاعلام -دراسة بحثية,978-9923-30-,truncated_or_missing_cover
41,قانون التجارة الدولية,978-9923-30-,truncated_or_missing_cover
42,قانون حقوق الانسان دراسات وبحوث,978-9923-30-,truncated_or_missing_cover
43,قانون النقل الدولي دراسة شاملة,978-9923-30-,truncated_or_missing_cover
44,نظريات علم النفس الاجتماعية,978-9923-30-,truncated_or_missing_cover
45,فن التفاوض آلية الصول الى التفاهم,978-9923-30-,truncated_or_missing_cover
46,الشامل في الادارة,978-9923-30-,truncated_or_missing_cover
47,صناعة القائد,978-9923-30-,truncated_or_missing_cover
48,الاتصال التربوي بين الاستاذ والتلميذ وتأثيره على العملية التعليمية في ظل المقاربة بالكفاءات,978-9923-30-,truncated_or_missing_cover
49,اللسانيات الحاسوبية والمصطلح بين النظرية والتطبيق,978-9923-30-,truncated_or_missing_cover
50,الطب الوقائي,978-9923-30-,truncated_or_missing_cover
51,الاسعافات الاولية,978-9923-30-,truncated_or_missing_cover
52,مقدمة عن الصيدلة,978-9923-30-,truncated_or_missing_cover
53,الاختراعات,978-9923-30-,truncated_or_missing_cover
54,الاخراج الاذاعي والتلفزيوني رؤية شاملة وعميقة,978-9923-30-,truncated_or_missing_cover
55,الاعلام والطفل قراءة تحليلية شاملة للأثر والتوجيه,978-9923-30-,truncated_or_missing_cover
56,دراسات في الادب الجزائري ج2,978-9923-30-,truncated_or_missing_cover
57,الوجيز في اقتصاديات التعليم الوصفي والرياضي والاقتصاديات المعاصرة,978-9923-30-,truncated_or_missing_cover
58,الصخور والمعادن,978-9923-30-,truncated_or_missing_cover
59,مفاتيح السعادة: تعليم قيم التسامح والامتنان والعفو للاطفال,978-9923-30-,truncated_or_missing_cover
60,امتلاك واستخدام الطاقة النووية للاغراض السلمية والعسكرية في ضوء القانون الدولي,978-9923-30-,truncated_or_missing_cover
62,دور الإرشاد الخبراتيّ في تحسين المنعة النّفسيّة والتوافق الزّواجي لدى المتزوجات ,978-9923-30-,truncated_or_missing_cover
63,دليل الوالدين من أجل تشكيك المناعة النفسية لأطفالهم,978-9923-30-099-2,ok
64,التنمر الالكتروني:دليل الاسره الوقايه والعلاج,978-9923-30-118-0,ok
65,مقياس الصحه النفسيه الرقميه,978-9923-30-117-3,ok
66,مقياس المهارات الحركيه الدقيقه للاطفال,978-9923-30-112-8,ok
67,مفاهيم عامه في التعليم العالي والتكوين في الجامعات,978-9923-30-115-9,ok
68,قضايا سياسيه برؤى تربويه,978-9923-30-116-6,ok
69,دراسات في الادب الجزائري,978-9923-30-114-2,ok
70,الدرر الفلسطينيه في مدح سيد البريه,978-9923-30-113-5,ok
